Year,State,District,Yield_kg_per_hectare,mean_ndvi,total_rainfall_mm
2023,Andaman And Nicobar Islands,North And Middle Andaman,2000.0,0.397344466909901,8945.792371977075
2023,Andaman And Nicobar Islands,North And Middle Andaman,2000.0,0.397344466909901,8945.792371977075
2023,Andhra Pradesh,Alluri Sitharama Raju,1769.2307692307693,0.6184770593561106,4190.025096179925
2023,Andhra Pradesh,Alluri Sitharama Raju,3000.0,0.6184770593561106,4190.025096179925
2023,Andhra Pradesh,Alluri Sitharama Raju,1792.4528301886792,0.6184770593561106,4190.025096179925
2023,Andhra Pradesh,Anakapalli,2577.777777777778,0.6661248730886836,3162.3801360616494
2023,Andhra Pradesh,Anakapalli,4000.0,0.6661248730886836,3162.3801360616494
2023,Andhra Pradesh,Anakapalli,2608.695652173913,0.6661248730886836,3162.3801360616494
2023,Andhra Pradesh,Anantapur,3545.454545454545,0.3665169075291028,1139.4837100917216
2023,Andhra Pradesh,Anantapur,3333.333333333333,0.3665169075291028,1139.4837100917216
2023,Andhra Pradesh,Anantapur,3520.0,0.3665169075291028,1139.4837100917216
2023,Andhra Pradesh,Annamayya,3666.666666666667,0.4213726375264003,1601.1992342902165
2023,Andhra Pradesh,Annamayya,3333.333333333333,0.4213726375264003,1601.1992342902165
2023,Andhra Pradesh,Annamayya,3384.6153846153843,0.4213726375264003,1601.1992342902165
2023,Andhra Pradesh,Bapatla,3465.116279069768,0.40769307934078725,2379.6384377694594
2023,Andhra Pradesh,Bapatla,2999.9999999999995,0.40769307934078725,2379.6384377694594
2023,Andhra Pradesh,Bapatla,3430.1075268817203,0.40769307934078725,2379.6384377694594
2023,Andhra Pradesh,Chittoor,3750.0,0.5224048920372856,3627.9799392293485
2023,Andhra Pradesh,Chittoor,3857.142857142857,0.5224048920372856,3627.9799392293485
2023,Andhra Pradesh,Chittoor,3625.0,0.5224048920372856,3627.9799392293485
2023,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,3531.25,0.526603861181201,2518.474103843932
2023,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,5057.971014492754,0.526603861181201,2518.474103843932
2023,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,4323.308270676692,0.526603861181201,2518.474103843932
2023,Andhra Pradesh,East Godavari,4138.888888888889,0.44402154549087125,2889.754340479888
2023,Andhra Pradesh,East Godavari,5249.999999999999,0.44402154549087125,2889.754340479888
2023,Andhra Pradesh,East Godavari,4661.417322834645,0.44402154549087125,2889.754340479888
2023,Andhra Pradesh,Eluru,4215.189873417721,0.5764942516892242,3090.5195761718005
2023,Andhra Pradesh,Eluru,5125.0,0.5764942516892242,3090.5195761718005
2023,Andhra Pradesh,Eluru,4437.5,0.5764942516892242,3090.5195761718005
2023,Andhra Pradesh,Guntur,3781.8181818181815,0.4089736557566223,2743.1024735581636
2023,Andhra Pradesh,Guntur,inf,0.4089736557566223,2743.1024735581636
2023,Andhra Pradesh,Guntur,3732.142857142857,0.4089736557566223,2743.1024735581636
2023,Andhra Pradesh,Kakinada,3602.409638554217,0.3121282583850714,2253.287392157199
2023,Andhra Pradesh,Kakinada,5015.384615384615,0.3121282583850714,2253.287392157199
2023,Andhra Pradesh,Kakinada,4222.972972972973,0.3121282583850714,2253.287392157199
2023,Andhra Pradesh,Krishna,3947.368421052632,0.5653175668789043,2506.9004321491016
2023,Andhra Pradesh,Krishna,4250.0,0.5653175668789043,2506.9004321491016
2023,Andhra Pradesh,Krishna,3929.936305732484,0.5653175668789043,2506.9004321491016
2023,Andhra Pradesh,Kurnool,3384.6153846153843,0.31732838185403206,1880.7092373717062
2023,Andhra Pradesh,Kurnool,2000.0,0.31732838185403206,1880.7092373717062
2023,Andhra Pradesh,Kurnool,3357.142857142857,0.31732838185403206,1880.7092373717062
2023,Andhra Pradesh,Nandyal,4115.384615384615,0.45306817811856576,1961.2437902562756
2023,Andhra Pradesh,Nandyal,3461.538461538461,0.45306817811856576,1961.2437902562756
2023,Andhra Pradesh,Nandyal,3984.615384615384,0.45306817811856576,1961.2437902562756
2023,Andhra Pradesh,Ntr,3439.0243902439024,0.5439343698375354,2500.3179662456705
2023,Andhra Pradesh,Ntr,3222.222222222222,0.5439343698375354,2500.3179662456705
2023,Andhra Pradesh,Ntr,3352.9411764705883,0.5439343698375354,2500.3179662456705
